epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.476,0.88904,2.46354,1.29426,0.69722,0.57028,0.68538,0.51808,0.81633,2.07916,1.34608,0.000330579,0.000330579,0.000330579
2,842.487,0.97417,1.78302,1.34615,0.7402,0.44041,0.5886,0.37298,1.24728,2.42404,1.77764,0.000652957,0.000652957,0.000652957
3,1431.61,1.04261,1.72486,1.38916,0.6365,0.61396,0.62999,0.4319,1.09891,2.10641,1.67878,0.000964336,0.000964336,0.000964336
4,2110.13,1.05825,1.6658,1.39883,0.70791,0.59957,0.68833,0.48898,0.98965,2.00125,1.56611,0.0009505,0.0009505,0.0009505
5,2937.48,1.02724,1.47732,1.37599,0.80884,0.62425,0.72941,0.50794,1.04453,1.67312,1.55298,0.000934,0.000934,0.000934
6,3734.33,0.98853,1.3862,1.33904,0.59144,0.64803,0.62817,0.43783,0.99215,2.01863,1.47732,0.0009175,0.0009175,0.0009175
7,4521.92,0.97183,1.30393,1.33451,0.76045,0.70088,0.7741,0.55244,1.02573,1.3258,1.54548,0.000901,0.000901,0.000901
8,5341.73,0.96149,1.28171,1.31978,0.64189,0.66548,0.70592,0.53456,0.93282,1.51304,1.44729,0.0008845,0.0008845,0.0008845
9,6198.78,0.95705,1.23177,1.32266,0.72637,0.77003,0.85504,0.63101,0.87168,1.11544,1.41018,0.000868,0.000868,0.000868
10,6824.38,0.92994,1.13942,1.29693,0.69506,0.70736,0.77635,0.58279,0.92632,1.38182,1.41026,0.0008515,0.0008515,0.0008515
11,7212.47,0.88485,1.09173,1.2659,0.88325,0.76827,0.86549,0.63343,0.93914,0.98586,1.46627,0.000835,0.000835,0.000835
12,7602.07,0.90275,1.10572,1.28703,0.86234,0.81604,0.88427,0.67411,0.84184,0.93981,1.35618,0.0008185,0.0008185,0.0008185
